2.6679 	20.5179 	55.1750 	3.6090 	4.3541 	3.2006 	3.7441 	2.0682 	1.5562 	2.4735 	0.9155 	1.9464 	1.1119 
2.6799 	22.1878 	61.1704 	4.4677 	5.6958 	3.4478 	4.1921 	2.6995 	2.6328 	3.3758 	1.7552 	2.1512 	1.8169 
3.5202 	23.6568 	62.1119 	4.4992 	5.7139 	3.4599 	4.4773 	2.8960 	2.7012 	3.4380 	2.4872 	2.5597 	1.9388 
3.6676 	23.6997 	63.1614 	4.8443 	5.7535 	4.4339 	4.8379 	3.4667 	2.7682 	3.6502 	2.6060 	2.7270 	2.5280 
3.7384 	24.6637 	65.7846 	4.9967 	5.9302 	4.5834 	5.2037 	3.4935 	2.8460 	3.8895 	2.6507 	2.8282 	2.5504 
3.7969 	25.1981 	66.7853 	5.1684 	6.5156 	4.6358 	5.2819 	3.8395 	4.0309 	4.3155 	2.8329 	3.0384 	2.8922 
3.7973 	25.3813 	67.2239 	5.2520 	6.5351 	4.6530 	5.3179 	3.9876 	4.0567 	4.5024 	2.8734 	3.1704 	2.9521 
3.9653 	25.5186 	68.5151 	5.4887 	6.6494 	4.6561 	5.4115 	4.0127 	4.2802 	4.5595 	2.9726 	3.4260 	2.9586 
3.9656 	25.6445 	68.6130 	5.5834 	6.8619 	4.7779 	5.4741 	4.2362 	4.2833 	4.5779 	3.0514 	4.4474 	2.9964 
4.0648 	26.4466 	69.1126 	5.7283 	6.8782 	4.8212 	5.7234 	4.3332 	4.2961 	4.7169 	3.0684 	4.5420 	3.1601 
4.0907 	27.8470 	70.0887 	5.8684 	6.9421 	5.0012 	5.8027 	4.4247 	4.3873 	4.9092 	3.1333 	4.5627 	3.3929 
4.1295 	28.5857 	70.6203 	6.0951 	6.9839 	5.0368 	5.9641 	4.6153 	4.8432 	4.9882 	3.4742 	4.9464 	3.4277 
4.1618 	29.7729 	71.1125 	6.2714 	7.0160 	5.0429 	6.0457 	4.6740 	5.0489 	5.3489 	3.7741 	5.1474 	3.6476 
4.1658 	30.3907 	71.2516 	6.5827 	7.0384 	5.2522 	6.0849 	4.9548 	5.1709 	5.4373 	3.8667 	5.1491 	3.6768 
4.3634 	30.6650 	72.4848 	6.9192 	7.1198 	5.3919 	6.2151 	5.1725 	5.2576 	5.5510 	3.9401 	5.3170 	3.9936 
4.3692 	31.1848 	72.9199 	6.9732 	7.6834 	5.6541 	6.2687 	5.1828 	5.3061 	5.5755 	4.0009 	5.3678 	4.0765 
4.5179 	31.6395 	72.9917 	7.2016 	8.0663 	5.6876 	6.4839 	5.6777 	5.4448 	5.8002 	4.0225 	5.3898 	4.0974 
4.7483 	31.6508 	74.9865 	7.4502 	8.3637 	5.9062 	6.5705 	6.0586 	5.8888 	5.8073 	4.0678 	5.5112 	4.1462 
4.7830 	32.7869 	76.8062 	7.8470 	8.4275 	5.9837 	8.1849 	6.6299 	6.5235 	5.8174 	4.1338 	5.5569 	4.2320 
4.8066 	33.2416 	79.0847 	9.1535 	9.4713 	6.3738 	8.7155 	7.5766 	6.6773 	7.2658 	4.3733 	6.2150 	4.4038 
