0	0	0	0	0	0	0.08	0.08	0.92	0.92	0	0
0	0	0	0	0	0	0.03	0.03	0.97	0.97	0	0
0	0	0	0	0	0	0	0	0.99	0.99	0.01	0.01
0	0	0	0	0	0	0	0	0.91	0.91	0.09	0.09
0	0	0	0	0	0	0	0	0.79	0.79	0.1	0.32
0	0	0	0	0	0	0	0	0.74	0.74	0.26	0.26
0	0	0	0	0	0	0	0	0.74	0.74	0.26	0.26
0	0	0	0	0	0	0	0	0.69	0.69	0.31	0.31
0	0	0	0	0	0	0	0	0.64	0.64	0.36	0.36
0	0	0	0	0	0	0.1	0.2	0.3	0.5	0.2	0.3
0	0	0	0	0	0	0	0	0.4	0.4	0.6	0.6
0	0	0	0	0	0	0	0	0.3	0.32	0.69	0.69
0	0	0	0	0	0	0	0	0.29	0.29	0.71	0.71
0	0	0	0	0	0	0	0	0.27	0.27	0.73	0.73
0	0	0	0	0	0	0	0	0.14	0.14	0.86	0.86
0	0	0	0	0	0	0	0	0.13	0.13	0.87	0.87
0	0	0	0	0	0	0	0	0.09	0.09	0.91	0.91
0	0	0	0	0	0	0	0	0.09	0.09	0.91	0.91
0	0	0	0	0	0	0	0	0.07	0.07	0.93	0.93
0	0	0	0	0	0	0	0	0.01	0.01	0.99	0.99
